# 2026 Topps Chrome drop read 2026-08-31 from eBay_assets/card drop IMG_2456-2685.
# back_photo = the frame the number and name were read from; front = back-1.
# Parallel is filled in on the fronts pass.
back	number	player	team	parallel
2570	19	Heriberto Hernandez	Seattle Mariners	base
2572	274	Munetaka Murakami	Chicago White Sox	Refractor
2574	236	Nolan McLean	New York Mets	Refractor
2576	201	Josh Naylor	Seattle Mariners	Refractor
2578	176	Logan Gilbert	Seattle Mariners	Refractor
2580	212	Sean Murphy	Atlanta Braves	Refractor
2582	229	Otto Kemp	Philadelphia Phillies	Refractor
2584	58	Kyle Tucker	Los Angeles Dodgers	Refractor
2586	197	Patrick Bailey	San Francisco Giants	Refractor
2588	188	Jung Hoo Lee	San Francisco Giants	Refractor
2590	126	Drew Gilbert	San Francisco Giants	Refractor
2592	61	Jazz Chisholm Jr.	New York Yankees	Refractor
2594	146	Randy Arozarena	Seattle Mariners	Refractor
2596	76	George Valera	Cleveland Guardians	Refractor
2598	177	Payton Tolle	Boston Red Sox	Refractor
2600	92	Gabriel Moreno	Arizona Diamondbacks	Refractor
2602	174	Jonathan Aranda	Tampa Bay Rays	Refractor
2604	242	Tatsuya Imai	Houston Astros	Refractor
2606	142	Carson Whisenhunt	San Francisco Giants	Refractor
2608	42	Chris Bassitt	Baltimore Orioles	Refractor
2610	70	Jhostynxon Garcia	Pittsburgh Pirates	Refractor
2612	?	CARD SHIFTED IN FRAME - needs wider crop		Refractor
2614	?	Chase Dollander	Colorado Rockies	Refractor
2616	46	C.J. Kayfus	Cleveland Guardians	Logofractor Blue /150 (054/150)
2618	76	George Valera	Cleveland Guardians	Logofractor Gold /50
2620	84	Maikel Garcia	Kansas City Royals	Logofractor
2622	19	Heriberto Hernandez	Miami Marlins	Logofractor
2624	285	Hunter Brown	Houston Astros	Logofractor
2626	115	Owen Caissie	Miami Marlins	Logofractor
2628	50	Tarik Skubal	Detroit Tigers	Logofractor
2630	?	FRONT misread as back - partner back is elsewhere		Logofractor (Wrecking Crew insert)
2632	294	Luis Morales	Athletics	Logofractor
2634	247	Warming Bernabel	Washington Nationals	Logofractor
2636	P-?	Jared Caglianone	Kansas City Royals	Logofractor (Perspectives insert)
2638	122	Ryan Ritter	Colorado Rockies	Pink Logofractor /250
2640	WC-?	Byron Buxton	Minnesota Twins	Wrecking Crew Green /99
2642	190	Henry Davis	Pittsburgh Pirates	Logofractor
2644	235	Jo Adell	Los Angeles Angels	Logofractor
2646	209	Caleb Durbin	Boston Red Sox	Logofractor
2648	WC-?	Jackson Chourio	Milwaukee Brewers	Logofractor (Wrecking Crew insert)
2650	250	Nick Kurtz	Athletics	Logofractor
2652	48	Kyle Stowers	Miami Marlins	Logofractor
2654	87	Carson Benge	New York Mets	Logofractor
2656	139	Coby Mayo	Baltimore Orioles	Logofractor
2658	261	Jakob Marsee	Miami Marlins	Logofractor
2661	FS-?	Roman Anthony	Boston Red Sox	Logofractor (Future Stars insert)
2663	77	Zach Neto	Los Angeles Angels	Pink Logofractor /250
2665	299	Francisco Lindor	New York Mets	Blue Logofractor /150
2667	65	Trevor Story	Boston Red Sox	Logofractor
2669	184	Parker Messick	Cleveland Guardians	Logofractor
2671	BTP-2	Jacob Misiorowski	Milwaukee Brewers	Logofractor (Big Ticket Players insert)
2673	FS-?	Munetaka Murakami	Chicago White Sox	Logofractor (Future Stars insert)
2675	86	Trey Yesavage	Toronto Blue Jays	Logofractor
2677	296	Chris Sale	Atlanta Braves	Logofractor
2679	212	Sean Murphy	Atlanta Braves	Logofractor
2681	154	Manny Machado	San Diego Padres	Logofractor
2683	166	Lourdes Gurriel Jr.	Arizona Diamondbacks	Logofractor
2685	36	Yusei Kikuchi	Los Angeles Angels	Logofractor
