# Kayou Naruto Earth Scroll 2 (NREA02) cards read off the 2026-08-27 photo drop.
# Source photos: eBay_assets/card drop/IMG_2031-2385 (336 frames, front then back,
# though the R batches run as consecutive fronts with one back for the batch).
# Codes read from the bottom strip of each front via scripts/naruto_codesheet.py.
# EVERY code below was verified against the narutodb NREA02 checklist: 0 failed.
# `DUR` = the diamond parallel; narutodb spells it with the glyph as (diamond)UR.
photo	code	note
2182	NREA02-SR-013L2	dup
2184	NREA02-SR-008L2	dup
2186	NREA02-SR-018L2	dup
2188	NREA02-SR-010L2	dup
2190	NREA02-SR-019L2	
2192	NREA02-SR-011L2	
2194	NREA02-R-020L1	
2196	NREA02-R-043L1	dup
2197	NREA02-R-025L1	
2198	NREA02-R-039L1	uncertain digit, same title as 2126
2199	NREA02-R-023L1	
2200	NREA02-R-045L1	
2201	NREA02-R-016L1	
2202	NREA02-R-019L1	
2203	NREA02-R-004L1	
2204	NREA02-R-033L1	uncertain
2205	NREA02-R-030L1	uncertain
2206	NREA02-R-050L1	uncertain
2207	NREA02-R-041L1	dup
2208	NREA02-R-004L1	dup
2209	NREA02-R-015L1	dup
2216	NREA02-UR-002L3	
2218	NREA02-DUR-003L3	DIAMOND UR (Sakura)
2220	NREA02-UR-011L3	
2222	NREA02-SSR-001L3	dup of 2093
2224	NREA02-SSR-003L3	dup
2226	NREA02-SSR-008L3	dup
2228	NREA02-SSR-004L3	dup
2230	NREA02-SSR-018L3	dup
2232	NREA02-SSR-017L3	dup
2234	NREA02-SSR-019L3	dup
2236	NREA02-SR-010L2	dup
2238	NREA02-SR-008L2	dup
2240	NREA02-SR-002L2	dup
2242	NREA02-SR-014L2	dup
2244	NREA02-SR-020L2	dup
2246	NREA02-SR-006L2	dup
2248	NREA02-SR-016L2	dup
2250	NREA02-SR-002L2	dup
2252	NREA02-SR-003L2	dup
2254	NREA02-SR-011L2	dup
2256	NREA02-R-010L1	
2258	NREA02-R-035L1	
2259	NREA02-R-022L1	
2260	NREA02-R-023L1	dup
2261	NREA02-R-017L1	dup
2262	NREA02-R-045L1	dup
2263	NREA02-R-046L1	
2264	NREA02-R-015L1	dup
2265	NREA02-R-004L1	dup
2266	NREA02-R-040L1	dup
2267	NREA02-R-050L1	
2268	NREA02-R-030L1	
2269	NREA02-R-005L1	
2270	NREA02-R-035L1	dup
2271	NREA02-R-044L1	
2272	NREA02-UR-006L3	
2274	NREA02-DUR-002L3	DIAMOND UR (Sasuke)
2277	NREA02-UR-001L3	
2279	NREA02-SSR-015L3	dup
2281	NREA02-SSR-008L3	dup
2283	NREA02-SSR-005L3	
2285	NREA02-SSR-002L3	dup
2287	NREA02-SSR-003L3	dup
2289	NREA02-SSR-010L3	dup
2292	NREA02-SSR-016L3	dup
2294	NREA02-SR-003L2	dup
2296	NREA02-SR-015L2	
2298	NREA02-SR-019L2	dup
2300	NREA02-SR-011L2	dup
2302	NREA02-SR-013L2	dup
2304	NREA02-SR-008L2	dup
2306	NREA02-SR-002L2	dup
2308	NREA02-SR-014L2	dup
2310	NREA02-SR-020L2	dup
2312	NREA02-SR-006L2	dup
2314	NREA02-R-038L1	dup
2316	NREA02-R-017L1	dup
2317	NREA02-R-045L1	dup
2318	NREA02-R-046L1	dup
2319	NREA02-R-015L1	dup
2320	NREA02-R-005L1	dup
2321	NREA02-R-040L1	dup
2322	NREA02-R-043L1	dup
2323	NREA02-R-001L1	dup
2324	NREA02-R-003L1	dup
2325	NREA02-R-024L1	dup
2326	NREA02-R-049L1	
2327	NREA02-R-037L1	dup
2328	NREA02-R-004L1	dup
2329	NREA02-R-040L1	dup
2330	NREA02-UR-011L3	dup
2332	NREA02-UR-013L3	dup
2334	NREA02-UR-014L3	dup
2336	NREA02-SSR-005L3	dup
2338	NREA02-SSR-023L3	dup
2340	NREA02-SSR-021L3	dup
2342	NREA02-SSR-019L3	dup
2344	NREA02-SSR-013L3	dup
2346	NREA02-SSR-020L3	
2348	NREA02-SSR-008L3	dup
2350	NREA02-SR-017L2	
2352	NREA02-SR-004L2	dup
2354	NREA02-SR-018L2	dup
2356	NREA02-SR-003L2	dup
2358	NREA02-SR-012L2	dup
2360	NREA02-SR-016L2	dup
2362	NREA02-SR-020L2	dup
2364	NREA02-SR-015L2	dup
2366	NREA02-SR-001L2	dup
2368	NREA02-SR-007L2	dup
2370	NREA02-R-039L1	dup
2379	NREA02-SR-007L2	dup
